stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
1,Jammu And Kashmir,276592,Municipal Council Rajouri,Notified Area Council,12.0,Rajouri,FULL MATCH
1,Jammu And Kashmir,276593,Municipal Committee Nowshera,Municipality,12.0,Rajouri,FULL MATCH
1,Jammu And Kashmir,296984,Municipal Committee Kalakote,Municipality,12.0,Rajouri,FULL MATCH
1,Jammu And Kashmir,248156,Srinagar Municipal Corporation,Municipal Corporations,13.0,Srinagar,AMBIGUOUS MATCH
1,Jammu And Kashmir,248159,Municipal Council Budgam,Notified Area Council,13.0,Srinagar,FULL MATCH
1,Jammu And Kashmir,248162,Municipal Committee Pampore,Municipality,13.0,Srinagar,FULL MATCH
1,Jammu And Kashmir,248202,Municipal Council Samba,Notified Area Council,14.0,Udhampur,FULL MATCH
1,Jammu And Kashmir,276587,Municipal Council Udhampur,Notified Area Council,14.0,Udhampur,FULL MATCH
1,Jammu And Kashmir,276588,Municipal Committee Chenani,Municipality,14.0,Udhampur,FULL MATCH
1,Jammu And Kashmir,276589,Municipal Committee Ramnagar,Municipality,14.0,Udhampur,FULL MATCH
1,Jammu And Kashmir,248041,Municipal Council Kishtwar,Notified Area Council,620.0,Kishtwar,FULL MATCH
1,Jammu And Kashmir,254926,Municipal Committee Thathri,Municipality,620.0,Kishtwar,FULL MATCH
1,Jammu And Kashmir,248036,Municipal Committee Banihal,Municipality,621.0,Ramban,FULL MATCH
1,Jammu And Kashmir,248037,Municipal Council Ramban,Notified Area Council,621.0,Ramban,FULL MATCH
1,Jammu And Kashmir,248039,Municipal Committee Batote,Municipality,621.0,Ramban,FULL MATCH
1,Jammu And Kashmir,248174,Municipal Council Kulgam,Notified Area Council,622.0,Kulgam,FULL MATCH
1,Jammu And Kashmir,296987,Municipal Committee Devsar,Municipality,622.0,Kulgam,FULL MATCH
1,Jammu And Kashmir,296988,Municipal Committee Yaripora,Municipality,622.0,Kulgam,FULL MATCH
1,Jammu And Kashmir,296989,Municipal Committee Frisal,Municipality,622.0,Kulgam,FULL MATCH
1,Jammu And Kashmir,248146,Municipal Council Bandipora,Notified Area Council,623.0,Bandipora,FULL MATCH
1,Jammu And Kashmir,248147,Municipal Committee Hajin,Municipality,623.0,Bandipora,FULL MATCH
1,Jammu And Kashmir,248148,Municipal Committee Sumbal,Municipality,623.0,Bandipora,FULL MATCH
1,Jammu And Kashmir,248150,Municipal Committee Pattan,Municipality,623.0,Bandipora,FULL MATCH
1,Jammu And Kashmir,248199,Municipal Committee Bari Brahmana,Municipality,624.0,Samba,FULL MATCH
1,Jammu And Kashmir,248201,Municipal Committee Vijaypur,Municipality,624.0,Samba,FULL MATCH
1,Jammu And Kashmir,248202,Municipal Council Samba,Notified Area Council,624.0,Samba,FULL MATCH
1,Jammu And Kashmir,248203,Municipal Committee Ramgarh,Municipality,624.0,Samba,FULL MATCH
1,Jammu And Kashmir,248167,Municipal Council Shopian,Notified Area Council,625.0,Shopian,FULL MATCH
1,Jammu And Kashmir,248155,Municipal Council Ganderbal,Notified Area Council,626.0,Ganderbal,FULL MATCH
1,Jammu And Kashmir,276590,Municipal Council Reasi,Notified Area Council,627.0,Reasi,FULL MATCH
1,Jammu And Kashmir,276591,Municipal Committee Katra,Municipality,627.0,Reasi,FULL MATCH
1,Jammu And Kashmir,276581,Municipal Council Kathua,Notified Area Council,,,NO MATCH
2,Himachal Pradesh,248236,Ghumarwin,Municipality,15.0,Bilaspur,FULL MATCH
2,Himachal Pradesh,248237,Talai,Town Panchayat,15.0,Bilaspur,FULL MATCH
2,Himachal Pradesh,248238,Naina Devi,Municipality,15.0,Bilaspur,FULL MATCH
2,Himachal Pradesh,248239,Bilaspur,Municipality,15.0,Bilaspur,FULL MATCH
2,Himachal Pradesh,248044,Dalhousie,Municipality,16.0,Chamba,FULL MATCH
