stateCode,stateName,localBodyCode,localBodyName,localBodyType,total_pincodes,matching_pincodes,predicted_districtCode,predicted_districtName,overlap_%,confidence_level,validation_flag,strategy_used,2nd_best_districtCode,2nd_best_districtName,gap_to_2nd_%,top3_candidates
19,West Bengal,250102,Cooper S Camp,Notified Area Council,1,1,320,Nadia,100.0,High,AMBIGUOUS,S1:same_state+prefix3,319.0,Murshidabad,0.0,320:Nadia (100.0%); 319:Murshidabad (100.0%)
19,West Bengal,250129,Garulia,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250136,Madhyamgram,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250139,New Barrackpore,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250140,Kamarhati,Municipality,5,5,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250141,Baranagar,Municipality,3,3,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250142,North Dum Dum,Municipality,6,6,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250143,Dum Dum,Municipality,4,4,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250144,South Dum Dum,Municipality,4,4,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250178,Konnagar,Municipality,1,1,312,Hooghly,100.0,High,AMBIGUOUS,S1:same_state+prefix3,306.0,Purba Bardhaman,0.0,312:Hooghly (100.0%); 306:Purba Bardhaman (100.0%); 318:Paschim Medinipur (100.0%)
19,West Bengal,250233,Tamralipta,Municipality,1,1,318,Paschim Medinipur,100.0,High,AMBIGUOUS,S1:same_state+prefix3,703.0,Jhargram,0.0,318:Paschim Medinipur (100.0%); 703:Jhargram (100.0%); 317:Purba Medinipur (100.0%)
19,West Bengal,250234,Haldia,Municipality,1,1,318,Paschim Medinipur,100.0,High,AMBIGUOUS,S1:same_state+prefix3,703.0,Jhargram,0.0,318:Paschim Medinipur (100.0%); 703:Jhargram (100.0%); 317:Purba Medinipur (100.0%)
19,West Bengal,250299,Kolkata,Municipal Corporations,22,22,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250302,Pujali,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
20,Jharkhand,250324,Medininagar (Daltonganj) Municipal Corporation,Municipal Corporations,1,1,328,Garhwa,100.0,High,AMBIGUOUS,S1:same_state+prefix3,335.0,Latehar,0.0,328:Garhwa (100.0%); 335:Latehar (100.0%); 338:Palamu (100.0%)
