localBodyCode,localBodyName,stateCode,stateName,lb_pincodes,total_lb_pincodes,num_candidate_districts,candidate_districts,overlap_percentages,top_districtCode,top_districtName,top_overlap_%,2nd_districtCode,2nd_districtName,2nd_overlap_%,disparity_value,disparity_category,unmatched_pin_count,unmatched_pincodes
253073,Azhagiapandipuram,33,Tamil Nadu,"[627201, 629851]",2,2,575:Kanniyakumari(50.0%) | 592:Tirunelveli(50.0%),"{575: 50.0, 592: 50.0}",575,Kanniyakumari,50.0,592.0,Tirunelveli,50.0,0.0,LOW DISPARITY,0,
301435,Bhandarej,8,Rajasthan,"[303501, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 97:Dausa(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 97: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,97.0,Dausa,25.0,25.0,MODERATE DISPARITY,0,
253098,Port Blair,35,Andaman And Nicobar Islands,"[744101, 744102]",2,1,602:South Andamans(50.0%),{602: 50.0},602,South Andamans,50.0,,,,50.0,HIGH DISPARITY,1,[744102]
253114,Bhatgaon,22,Chhattisgarh,"[491001, 497235]",2,3,378:Durg(50.0%) | 388:Rajnandgaon(50.0%) | 648:Surajpur(50.0%),"{378: 50.0, 388: 50.0, 648: 50.0}",378,Durg,50.0,388.0,Rajnandgaon,50.0,0.0,LOW DISPARITY,0,
253118,Kusmi,22,Chhattisgarh,"[491335, 497224]",2,2,649:Balrampur-Ramanujganj(50.0%) | 650:Bemetara(50.0%),"{649: 50.0, 650: 50.0}",649,Balrampur-Ramanujganj,50.0,650.0,Bemetara,50.0,0.0,LOW DISPARITY,0,
253125,Silwani,23,Madhya Pradesh,"[461111, 464886]",2,2,409:Narmadapuram(50.0%) | 421:Raisen(50.0%),"{409: 50.0, 421: 50.0}",409,Narmadapuram,50.0,421.0,Raisen,50.0,0.0,LOW DISPARITY,0,
272885,Panoor,32,Kerala,"[670692, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 557:Kannur(25.0%),"{555: 50.0, 557: 25.0}",555,Ernakulam,50.0,557.0,Kannur,25.0,25.0,MODERATE DISPARITY,1,[683104]
272890,Iritty,32,Kerala,"[670703, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 557:Kannur(25.0%),"{555: 50.0, 557: 25.0}",555,Ernakulam,50.0,557.0,Kannur,25.0,25.0,MODERATE DISPARITY,1,[683104]
272891,Ettumanoor,32,Kerala,"[682301, 682304, 683104, 686631]",4,2,555:Ernakulam(50.0%) | 560:Kottayam(25.0%),"{555: 50.0, 560: 25.0}",555,Ernakulam,50.0,560.0,Kottayam,25.0,25.0,MODERATE DISPARITY,1,[683104]
272892,Erattupetta,32,Kerala,"[682301, 682304, 683104, 686121]",4,1,555:Ernakulam(50.0%),{555: 50.0},555,Ernakulam,50.0,,,,50.0,HIGH DISPARITY,2,"[683104, 686121]"
301439,Dooni,8,Rajasthan,"[304802, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 116:Tonk(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 112: 25.0, 116: 25.0, 117: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
272897,Koduvally,32,Kerala,"[673572, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 561:Kozhikode(25.0%),"{555: 50.0, 561: 25.0}",555,Ernakulam,50.0,561.0,Kozhikode,25.0,25.0,MODERATE DISPARITY,1,[683104]
301440,Fhagi,8,Rajasthan,"[303005, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 102:Jaipur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 102: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,102.0,Jaipur,25.0,25.0,MODERATE DISPARITY,0,
248728,Viratnagar,8,Rajasthan,"[303102, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%) | 782:Kotputli-Behror(25.0%),"{98: 50.0, 112: 25.0, 117: 25.0, 782: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
248732,Jobner,8,Rajasthan,"[303328, 313325, 328024, 328027]",4,4,98:Dholpur(50.0%) | 102:Jaipur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 102: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,102.0,Jaipur,25.0,25.0,MODERATE DISPARITY,0,
