stateCode,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
19,250303,Rajpur Sonarpur,Municipality,304,South 24 Parganas,AMBIGUOUS MATCH
19,250304,Baruipur,Municipality,304,South 24 Parganas,FULL MATCH
19,250305,Diamond Harbour,Municipality,304,South 24 Parganas,FULL MATCH
19,250306,Jaynagar Mazilpur,Municipality,304,South 24 Parganas,FULL MATCH
20,250323,Hussainabad,Town Panchayat,"324, 338",Deoghar | Palamu,AMBIGUOUS MATCH
20,250324,Medininagar (Daltonganj) Municipal Corporation,Municipal Corporations,,,NO MATCH
20,250326,Latehar,Town Panchayat,335,Latehar,FULL MATCH
20,250349,Giridih Municipal Corporation,Municipal Corporations,329,Giridih,FULL MATCH
20,250352,Basukinath,Town Panchayat,324,Deoghar,AMBIGUOUS MATCH
20,250378,Dhanbad,Municipal Corporations,325,Dhanbad,AMBIGUOUS MATCH
20,250413,Ranchi,Municipal Corporations,339,Ranchi,FULL MATCH
20,250414,Khunti,Town Panchayat,606,Khunti,FULL MATCH
20,250415,Bundu,Town Panchayat,"323, 332, 339",Chatra | Hazaribagh | Ranchi,AMBIGUOUS MATCH
20,250416,Chakradharpur,Municipality,326,Dumka,FULL MATCH
20,250423,Seraikella,Town Panchayat,341,Saraikela Kharsawan,FULL MATCH
20,250430,Chaibasa,Municipality,326,Dumka,FULL MATCH
20,250433,Mango,Municipal Corporations,,,NO MATCH
20,250434,Jamshedpur,Notified Area Council,327,East Singhbum,FULL MATCH
20,250435,Jugsalai,Municipality,"326, 327",Dumka | East Singhbum,AMBIGUOUS MATCH
20,250445,Chakulia,Town Panchayat,327,East Singhbum,FULL MATCH
21,250446,Padmapur,Notified Area Council,347,Bargarh,FULL MATCH
21,250447,Barapali,Notified Area Council,347,Bargarh,FULL MATCH
21,250448,Bargarh,Municipality,,,NO MATCH
21,250450,Belpahar,Municipality,,,NO MATCH
21,250451,Brajarajnagar,Municipality,357,Jharsuguda,FULL MATCH
21,250452,Jharsuguda,Municipality,357,Jharsuguda,AMBIGUOUS MATCH
21,250453,Kochinda,Notified Area Council,371,Sambalpur,FULL MATCH
21,250454,Redhakhol,Notified Area Council,371,Sambalpur,FULL MATCH
21,250457,Debagarh,Municipality,351,Deogarh,FULL MATCH
